Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2000-2002,%,141,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2001-2003,%,140,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2002-2004,%,138,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2003-2005,%,137,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2004-2006,%,137,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2005-2007,%,138,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2006-2008,%,140,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2007-2009,%,140,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2008-2010,%,140,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2009-2011,%,139,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2010-2012,%,139,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2011-2013,%,138,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2012-2014,%,137,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2013-2015,%,137,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2014-2016,%,136,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2015-2017,%,136,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2016-2018,%,135,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2017-2019,%,134,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2018-2020,%,134,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2019-2021,%,134,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2020-2022,%,134,E,
59,'818,Egypt,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2021-2023,%,133,E,
59,'818,Egypt,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2000,2000,kcal/cap/d,3236,E,
59,'818,Egypt,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,3266,E,
59,'818,Egypt,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,3281,E,
59,'818,Egypt,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,3222,E,
59,'818,Egypt,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,3149,E,
59,'818,Egypt,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,3200,E,
59,'818,Egypt,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,3218,E,
59,'818,Egypt,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,3269,E,
59,'818,Egypt,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,3308,E,
59,'818,Egypt,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,3256,E,
59,'818,Egypt,220001,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,3291,E,
